ID,Name in English,Degree of endangerment,Countries,Number of speakers,country_count,naive_speakers_per_country
1022,South Italian,Vulnerable,Italy,7500000.0,1,7500000.0
1023,Sicilian,Vulnerable,Italy,5000000.0,1,5000000.0
2211,Yiddish (Israel),Definitely endangered,Israel,3000000.0,1,3000000.0
1586,Gondi,Vulnerable,India,2713790.0,1,2713790.0
1943,Quechua of Southern Bolivia,Vulnerable,Bolivia (Plurinational State of),2300000.0,1,2300000.0
399,Piedmontese,Definitely endangered,Italy,2000000.0,1,2000000.0
1985,Zazaki,Vulnerable,Turkey,2000000.0,1,2000000.0
1591,Kurux (India),Vulnerable,India,1751489.0,1,1751489.0
2065,Tamajeq,Vulnerable,Niger,1750000.0,1,1750000.0
382,Lombard,Definitely endangered,"Italy, Switzerland",3500000.0,2,1750000.0
1585,Tulu,Vulnerable,India,1722768.0,1,1722768.0
1556,Kangdi,Definitely endangered,India,1700000.0,1,1700000.0
410,Scots,Vulnerable,United Kingdom of Great Britain and Northern Ireland,1500000.0,1,1500000.0
334,Bashkir,Vulnerable,Russian Federation,1379727.0,1,1379727.0
1067,Chechen,Vulnerable,Russian Federation,1331844.0,1,1331844.0
338,Chuvash,Vulnerable,Russian Federation,1325382.0,1,1325382.0
1227,Meithei,Vulnerable,India,1250000.0,1,1250000.0
1013,Quechua of Cuzco,Vulnerable,Peru,1115000.0,1,1115000.0
1565,Kumaoni,Vulnerable,"India, Nepal",2003783.0,2,1001891.5
349,Emilian-Romagnol,Definitely endangered,"Italy, San Marino",2000000.0,2,1000000.0
383,Low Saxon,Vulnerable,"Germany, Denmark, Netherlands, Poland, Russian Federation",4800000.0,5,960000.0
1577,Kui,Vulnerable,India,916222.0,1,916222.0
1231,Khasi,Vulnerable,India,912000.0,1,912000.0
337,Campidanese,Definitely endangered,Italy,900000.0,1,900000.0
1229,Bodo,Vulnerable,India,900000.0,1,900000.0
1803,K'iche' (Guatemala),Vulnerable,Guatemala,890596.0,1,890596.0
1020,Limburgian-Ripuarian,Vulnerable,"Germany, Belgium, Netherlands",2600000.0,3,866666.6666666666
989,Quechua of Ayacucho,Definitely endangered,Peru,850000.0,1,850000.0
1117,Newar,Definitely endangered,Nepal,825458.0,1,825458.0
701,Tamaceq,Definitely endangered,Mali,800000.0,1,800000.0
1069,Avar,Vulnerable,Russian Federation,784840.0,1,784840.0
425,Welsh,Vulnerable,United Kingdom of Great Britain and Northern Ireland,750000.0,1,750000.0
1211,Mundari,Vulnerable,India,750000.0,1,750000.0
1827,Q'eqchi' (Guatemala),Vulnerable,Guatemala,716101.0,1,716101.0
335,Belarusian,Vulnerable,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine",4000000.0,6,666666.6666666666
1021,Venetan,Vulnerable,"Croatia, Italy, Slovenia",2000000.0,3,666666.6666666666
755,Aymara,Vulnerable,"Bolivia (Plurinational State of), Chile, Peru",2000000.0,3,666666.6666666666
1559,Mandeali,Definitely endangered,India,611930.0,1,611930.0
997,Quechua of Ancash and Huánuco,Definitely endangered,Peru,600000.0,1,600000.0
353,Friulian,Definitely endangered,Italy,600000.0,1,600000.0
1114,Tamang,Vulnerable,"India, Nepal",1196639.0,2,598319.5
1091,Mising,Definitely endangered,India,550000.0,1,550000.0
1230,Mizo,Vulnerable,India,529000.0,1,529000.0
1070,Dargwa,Vulnerable,Russian Federation,503523.0,1,503523.0
1515,Talysh,Vulnerable,"Azerbaijan, Iran (Islamic Republic of)",1000000.0,2,500000.0
1024,Eastern Slovak,Vulnerable,"Slovakia, Ukraine",1000000.0,2,500000.0
375,Languedocian,Severely endangered,France,500000.0,1,500000.0
1476,West Flemish,Vulnerable,"Belgium, France, Netherlands",1500000.0,3,500000.0
1558,Mahasui,Definitely endangered,India,496024.0,1,496024.0
1118,Magar,Definitely endangered,Nepal,489383.0,1,489383.0
1822,Mam (Guatemala),Vulnerable,Guatemala,477717.0,1,477717.0
418,Udmurt,Definitely endangered,Russian Federation,463837.0,1,463837.0
1506,Huasteca Náhuatl,Vulnerable,Mexico,463183.0,1,463183.0
1074,Kumyk,Vulnerable,Russian Federation,458121.0,1,458121.0
508,Yakut,Vulnerable,Russian Federation,456288.0,1,456288.0
1801,Kaqchikel (Guatemala),Vulnerable,Guatemala,444954.0,1,444954.0
1165,Karbi,Vulnerable,India,420000.0,1,420000.0
347,Eastern Mari,Definitely endangered,Russian Federation,414211.0,1,414211.0
1068,Ingush,Vulnerable,Russian Federation,405343.0,1,405343.0
2222,Mon,Vulnerable,"Myanmar, Thailand",800000.0,2,400000.0
1212,Ho,Vulnerable,India,400000.0,1,400000.0
534,Lalo,Vulnerable,China,400000.0,1,400000.0
378,Limousin,Severely endangered,France,400000.0,1,400000.0
626,Mapuche (Chile),Definitely endangered,Chile,400000.0,1,400000.0
381,Logudorese,Definitely endangered,Italy,400000.0,1,400000.0
2165,Judezmo (Israel),Severely endangered,Israel,400000.0,1,400000.0
350,Erzya,Definitely endangered,Russian Federation,400000.0,1,400000.0
1503,Central Náhuatl,Vulnerable,Mexico,395581.0,1,395581.0
964,Bantawa,Vulnerable,Nepal,371056.0,1,371056.0
1202,Angika,Vulnerable,"India, Nepal",740892.0,2,370446.0
1424,Santa,Vulnerable,China,360000.0,1,360000.0
426,West Frisian,Vulnerable,Netherlands,350000.0,1,350000.0
1057,Mingrelian,Definitely endangered,Georgia,350000.0,1,350000.0
398,Picard,Severely endangered,"Belgium, France",700000.0,2,350000.0
1228,Kokborok,Vulnerable,"Bangladesh, India",695000.0,2,347500.0
1113,Gurung,Definitely endangered,Nepal,338925.0,1,338925.0
